"","species","maxcatch","fmsy","catch90","fmsy90l","fmsy90r","NatM"
"1","cod",163991000,0.121066666666667,147591900,0.0734666666666667,0.168666666666667,0.2
"77","flatfish",6930.09,0.279733333333333,6237.081,0.168666666666667,0.470133333333333,0.2
"153","hake",400831,0.307706666666667,360747.9,0.16808,0.517146666666667,0.22
"229","hake-age",409806,0.32516,368825.4,0.185533333333333,0.58696,0.22
"305","hakerw",400831,0.307706666666667,360747.9,0.16808,0.517146666666667,0.22
"381","hakerw-age",409806,0.32516,368825.4,0.185533333333333,0.58696,0.22
"457","mackerel",1741.46,0.818333333333333,1567.314,0.461333333333333,1.41333333333333,0.5
"533","mackerel-age",1567.17,0.818333333333333,1410.453,0.421666666666667,1.41333333333333,0.5
"609","yellow",40.5186,0.0484266666666667,36.46674,0.0293866666666667,0.0674666666666667,0.08
"685","yellow-age",35.6351,0.04208,32.07159,0.0293866666666667,0.06112,0.08
"761","yellow-long",37.3232,0.04208,33.59088,0.0293866666666667,0.0547733333333333,0.08
"837","yellowrw",40.5186,0.0484266666666667,36.46674,0.0293866666666667,0.0674666666666667,0.08
"913","yellowrw-age",35.6351,0.04208,32.07159,0.0293866666666667,0.06112,0.08
